.vsto	bootstrap.vsto.1
.UDL	MSDASC
.reg	regfile
.hta	htafile
.js	JSFile
.JSE	JSEFile
.igp	Intel.GraphicsControlPanel.igp.1
.sldm	PowerPoint.SlideMacroEnabled.12
.sldx	PowerPoint.Slide.12
.eml	Outlook.File.eml.15
.mat	Access.Shortcut.Table.1
.maq	Access.Shortcut.Query.1
.accda	Access.ACCDAExtension.16
.mda	Access.Extension.16
.dqy	dqyfile
.iqy	iqyfile
.hlp	hlpfile
.dwfx	Windows.XPSReachViewer
.easmx	Windows.XPSReachViewer
.edrwx	Windows.XPSReachViewer
.eprtx	Windows.XPSReachViewer
.jtx	Windows.XPSReachViewer
.oxps	Windows.XPSReachViewer
.xps	Windows.XPSReachViewer
.webpnp	webpnpFile
.wbcat	wbcatfile
.sst	CertificateStoreFile
.p7b	SPCFile
.spc	SPCFile
.p12	PFXFile
.pfx	PFXFile
.p7r	P7RFile
.crl	CRLFile
.cer	CERFile
.crt	CERFile
.der	CERFile
.cat	CATFile
.deskthemepack	desktopthemepackfile
.theme	themefile
.themepack	themepackfile
.msstyles	msstylesfile
.qds	SavedDsQuery
.tif	TIFImage.Document
.tiff	TIFImage.Document
.pbk	pbkfile
.blg	Diagnostic.Perfmon.Document
.perfmoncfg	Diagnostic.Perfmon.Config
.resmoncfg	Diagnostic.Resmon.Config
.inf	inffile
.ini	inifile
.log	txtfile
.scp	txtfile
.txt	txtfile
.wtx	txtfile
.nfo	MSInfoFile
.diagcfg	Diagnostic.Config
.diagpkg	Diagnostic.Document
.diagcab	Diagnostic.Cabinet
.msc	MSCFile
.ms-windows-store-license	WindowsStore.License
.evt	evtfile
.evtx	evtxfile
.p7s	P7SFile
.cab	CABFolder
.zip	CompressedFolder
.osdx	opensearchdescription
.scf	SHCmdFile
.printerExport	brmFile
.xrm-ms	MSSppLicenseFile
.wcx	wcxfile
.psc1	Microsoft.PowerShellConsole.1
.URL	InternetShortcut
.appref-ms	Application.Reference
.application	Application.Manifest
.xaml	Windows.XamlDocument
.xbap	Windows.Xbap
.ps1	Microsoft.PowerShellScript.1
.psd1	Microsoft.PowerShellData.1
.psm1	Microsoft.PowerShellModule.1
.sct	scriptletfile
.wsc	scriptletfile
.pyw	Python.NoConFile
.pyzw	Python.NoConArchiveFile
.py	Python.File
.pyc	Python.CompiledFile
.pyo	Python.CompiledFile
.pyz	Python.ArchiveFile
.pdf	SumatraPDF
.ipr	IntelliJIdeaProjectFile
.ppk	PPK_Assoc_ProgId
.ova	progId_VirtualBox.Shell.ova
.ovf	progId_VirtualBox.Shell.ovf
.vbox	progId_VirtualBox.Shell.vbox
.vbox-extpack	progId_VirtualBox.Shell.vbox-extpack
.doc	Word.Document.8
.docm	Word.DocumentMacroEnabled.12
.docx	Word.Document.12
.dot	Word.Template.8
.dotm	Word.TemplateMacroEnabled.12
.dotx	Word.Template.12
.rtf	Word.RTF.8
.wbk	Word.Backup.8
.odt	Word.OpenDocumentText.12
.dochtml	wordhtmlfile
.dothtml	wordhtmltemplate
.vssm	Visio.StencilMacroEnabled.15
.vssx	Visio.Stencil.15
.vss	Visio.Stencil.11
.vsx	Visio.Stencil.11
.vdw	Visio.WebDrawing.14
.vdx	Visio.Drawing.11
.vsd	Visio.Drawing.11
.vsdm	Visio.DrawingMacroEnabled.15
.vsdx	Visio.Drawing.15
.vstm	Visio.TemplateMacroEnabled.15
.vstx	Visio.Template.15
.vst	Visio.Template.11
.vsw	Visio.Workspace.11
.vtpx	Visio.TemplatePackage.16
.vtx	Visio.Template.11
.pps	PowerPoint.SlideShow.8
.ppsm	PowerPoint.SlideShowMacroEnabled.12
.ppsx	PowerPoint.SlideShow.12
.odp	PowerPoint.OpenDocumentPresentation.12
.pot	PowerPoint.Template.8
.potm	PowerPoint.TemplateMacroEnabled.12
.potx	PowerPoint.Template.12
.ppam	PowerPoint.Addin.12
.ppt	PowerPoint.Show.8
.pptm	PowerPoint.ShowMacroEnabled.12
.pptx	PowerPoint.Show.12
.pwz	PowerPoint.Wizard.8
.thmx	OfficeTheme.12
.ppa	PowerPoint.Addin.8
.pothtml	powerpointhtmltemplate
.ppthtml	powerpointhtmlfile
.pptxml	powerpointxmlfile
.vcs	Outlook.File.vcs.15
.vcf	Outlook.File.vcf.15
.oft	Outlook.File.oft.15
.pst	Outlook.File.pst.15
.ics	Outlook.File.ics.15
.hol	Outlook.File.hol.15
.msg	Outlook.File.msg.15
.onetoc	OneNote.TableOfContents
.onetoc2	OneNote.TableOfContents.12
.one	OneNote.Section.1
.onepkg	OneNote.Package
.pub	Publisher.Document.16
.ols	OfficeListShortcut
.mau	Access.Shortcut.Function.1
.accdr	Access.ACCDRFile.16
.mam	Access.Shortcut.Macro.1
.mav	Access.Shortcut.View.1
.mas	Access.Shortcut.StoredProcedure.1
.mar	Access.Shortcut.Report.1
.mad	Access.Shortcut.Module.1
.maf	Access.Shortcut.Form.1
.mag	Access.Shortcut.Diagram.1
.maw	Access.Shortcut.DataAccessPage.1
.adn	Access.BlankProjectTemplate.16
.mdn	Access.BlankDatabaseTemplate.16
.accdb	Access.Application.16
.accde	Access.ACCDEFile.16
.accdw	Access.WebApplicationReference.16
.ade	Access.ADEFile.16
.adp	Access.Project.16
.mdb	Access.MDBFile
.mde	Access.MDEFile.16
.accdc	Access.ACCDCFile.16
